model,type,batchsize,gpu_mem,gpu_util,runtime
resnet18,0,32,2473984000,18.667,4310
resnet18,0,64,2786918400,26.667,4670
resnet18,0,128,3221225472,36.25,4822
resnet50,0,32,5780275200,38,6012
resnet50,0,64,9101639680,42,6710
resnet50,0,128,13958643712,48,7501
mobilenet_v2,0,32,2631925760,17,3801
mobilenet_v2,0,64,3156213760,31.5,4012
mobilenet_v2,0,128,4278190080,41.2,4255
shufflenet_v2_x0_5,0,32,1361051648,17.1,2471
shufflenet_v2_x0_5,0,64,1816133632,20.4,2692
shufflenet_v2_x0_5,0,128,2990538752,24.1,2831
vgg16,0,32,6142558208,41,6264
vgg16,0,64,10787749888,51,7245
vgg16,0,128,20787749888,57,8264
BERT,0,32,5689917440,38,104
BERT,0,64,8790835200,42,120
BERT,0,128,15393189888,46,140
gpt,0,2,9384755200,43,269
gpt,0,4,16588877824,48,273

